City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,dongola,19.1667,30.4833,28.95,10,12,5.13,SD,1712855603
259,saint-francois,46.4154,3.9054,17.69,44,0,0.51,FR,1712855603
260,portland,45.5234,-122.6762,13.08,76,0,1.54,US,1712854960
261,port saint john's,-31.6229,29.5448,17.78,63,9,7.86,ZA,1712855603
262,shakawe,-18.3667,21.85,24.17,36,75,1.4,BW,1712855603
263,tulum,20.2167,-87.4667,28.73,80,61,1.13,MX,1712855603
264,san antonio de pale,-1.4014,5.6325,26.26,84,100,7.72,GQ,1712855603
265,khovd,48.0056,91.6419,7.02,48,27,1.28,MN,1712855379
266,mildura,-34.2,142.15,8.93,81,0,4.47,AU,1712855603
267,mezhdurechenskiy,59.6,65.9333,-1.05,75,99,5.53,RU,1712855604
268,uturoa,-16.7333,-151.4333,28.85,76,51,7.28,PF,1712855604
269,west island,-12.1568,96.8225,26.99,83,40,4.12,CC,1712855604
270,at taj,24.2049,23.2857,24.21,15,39,3.73,LY,1712855604
271,luc-la-primaube,44.3144,2.5355,17.36,42,0,4.12,FR,1712855604
272,marine corps base hawaii - mcbh,21.4453,-157.7513,23.39,86,100,0.45,US,1712855604
273,sasolburg,-26.8136,27.817,16.39,32,0,2.37,ZA,1712855604
274,gulf shores,30.246,-87.7008,21.03,74,100,8.23,US,1712855604
275,vidyayevo,69.3191,32.8049,1.52,99,100,7.7,RU,1712855604
276,olinda,-8.0089,-34.8553,30.85,74,20,5.14,BR,1712855604
277,kununurra,-15.7667,128.7333,17.99,88,6,0.0,AU,1712855577
278,gamba,-2.65,10.0,27.96,81,83,3.97,GA,1712855605
279,cappeln,52.8167,8.1167,14.9,80,100,4.77,DE,1712855605
280,kapuskasing,49.4169,-82.4331,13.74,67,91,3.46,CA,1712855605
281,lihue,21.9789,-159.3672,23.58,89,75,1.54,US,1712855605
282,buta,2.7858,24.73,29.61,44,100,0.86,CD,1712855605
283,saint-pierre,-21.3393,55.4781,26.82,74,0,2.06,RE,1712855344
284,elverum,60.8819,11.5623,6.57,98,69,0.59,NO,1712855605
285,semnan,35.5729,53.3971,14.75,45,11,5.17,IR,1712855605
286,tateyama,34.9833,139.8667,15.05,78,100,3.98,JP,1712855605
287,toyooka,35.5333,134.8333,10.88,91,78,2.56,JP,1712855605
288,nicoya,10.1483,-85.452,35.21,42,85,2.71,CR,1712855444
289,new castle,41.0037,-80.347,19.49,85,100,3.09,US,1712855439
290,olyokminsk,60.3736,120.4264,-4.58,90,100,4.44,RU,1712855606
291,howard springs,-12.497,131.047,24.95,82,60,1.82,AU,1712855606
292,jining,35.405,116.5814,14.97,89,97,3.14,CN,1712855606
293,abay,49.6311,72.8539,1.21,77,100,5.4,KZ,1712855606
294,veraval,20.9,70.3667,25.88,79,12,4.97,IN,1712855606
295,manturovo,58.3353,44.7619,9.88,66,57,5.39,RU,1712855606
296,bamboo flat,11.7,92.7167,28.24,78,80,1.61,IN,1712855606
297,sitka,57.0531,-135.33,2.94,87,20,0.0,US,1712855606
298,kasangulu,-4.5911,15.1708,27.01,82,100,2.74,CD,1712855606
299,ust-nera,64.5667,143.2,-13.65,96,83,3.08,RU,1712855606
300,qarazhal,48.0078,70.7903,3.09,66,81,7.32,KZ,1712855606
301,megion,61.0296,76.1136,-17.99,88,72,2.22,RU,1712855607
302,nuku'alofa,-21.1333,-175.2,24.19,94,40,0.51,TO,1712855607
303,xilin hot,43.9667,116.0333,13.69,26,100,3.59,CN,1712855607
304,kayangel,8.0823,134.7173,27.85,75,33,5.7,PW,1712855607
305,natividade,-21.0422,-41.9733,28.92,67,48,1.65,BR,1712855607
306,brooks,50.5834,-111.8851,8.91,46,59,5.66,CA,1712854809
307,salinopolis,-0.6136,-47.3561,28.2,83,98,2.98,BR,1712855607
308,bodaybo,57.8506,114.1933,-3.43,98,90,0.7,RU,1712855607
309,xining,36.6167,101.7667,9.77,30,15,0.53,CN,1712855607
310,maxixe,-23.8597,35.3472,22.84,65,47,6.96,MZ,1712855607
311,camden,39.7835,-74.9663,23.16,68,100,3.13,US,1712855507
312,illizi,26.4833,8.4667,29.49,14,0,8.63,DZ,1712855608
313,leava,-14.3,-178.1667,28.8,79,77,5.15,WF,1712855608
314,dryden,49.7833,-92.7503,8.16,76,75,3.09,CA,1712855608
315,ad dabbah,18.05,30.95,29.7,7,9,4.88,SD,1712855608
316,enkhuizen,52.7,5.2833,15.0,84,100,1.79,NL,1712855608
317,sabang,5.8933,95.3214,29.8,71,52,7.27,ID,1712855608
318,uppal kalan,17.4058,78.5591,29.74,35,35,5.63,IN,1712855608
319,priob'ye,62.5206,65.5964,-5.54,94,100,10.77,RU,1712855608
320,lycksele,64.5954,18.6735,5.93,52,100,2.06,SE,1712855609
321,kaedi,16.1465,-13.5047,42.68,11,0,2.27,MR,1712855609
322,antsiranana,-12.2787,49.2917,26.03,90,10,1.94,MG,1712855609
323,sinabang,2.4803,96.3801,26.97,83,96,0.66,ID,1712855609
324,sisimiut,66.9395,-53.6735,-3.6,75,100,1.32,GL,1712855609
325,nemuro,43.3236,145.575,4.07,95,100,6.84,JP,1712855609
326,mahabad,36.7631,45.7222,8.4,86,100,5.43,IR,1712855609
327,petukhovo,55.0692,67.9019,0.92,76,39,1.05,RU,1712855609
328,nagqu,31.5,92.0,-0.67,44,100,5.1,CN,1712855609
329,dzialoszyn,51.117,18.8652,14.31,56,0,2.68,PL,1712855609
330,clarence-rockland,45.5501,-75.291,11.23,92,100,5.88,CA,1712855494
331,laguna,38.421,-121.4238,24.49,62,0,0.45,US,1712855610
332,pullman,46.7313,-117.1796,11.5,63,0,4.47,US,1712855488
333,rabigh,22.7986,39.0349,25.83,46,4,5.97,SA,1712855610
334,butembo,0.15,29.2833,17.71,89,92,1.31,CD,1712855610
335,mugia,43.1041,-9.2179,22.17,73,92,0.19,ES,1712855610
336,holualoa,19.6228,-155.9522,23.26,84,20,0.0,US,1712855610
337,pisco,-13.7,-76.2167,24.03,83,38,5.14,PE,1712855610
338,vangaindrano,-23.35,47.6,24.22,84,97,3.81,MG,1712855610
339,carutapera,-1.195,-46.02,28.94,83,71,2.28,BR,1712855610
340,pahlgam,34.0333,75.3333,3.0,87,100,2.55,IN,1712855610
341,shush,32.1942,48.2436,25.25,30,47,3.18,IR,1712855610
342,berezovyy,51.6667,135.7,1.2,66,0,2.26,RU,1712855610
343,merizo village,13.2658,144.6691,27.31,90,100,6.54,GU,1712855611
344,scalea,39.813,15.7956,16.0,73,100,2.67,IT,1712855611
345,chengde,40.9725,117.9361,13.48,63,7,1.16,CN,1712855611
346,grand-bassam,5.2118,-3.7388,28.98,73,100,1.14,CI,1712855611
347,geraldton,-28.7667,114.6,22.23,60,69,5.66,AU,1712855611
348,taloda,21.5667,74.2167,30.45,42,98,3.9,IN,1712855611
349,mino,34.8269,135.4706,12.72,73,90,2.86,JP,1712855611
350,arno,60.1167,18.6333,5.44,87,100,6.6,SE,1712855611
351,serhiyivka,46.0272,30.3768,15.21,62,1,2.86,UA,1712855611
352,pachora,20.6667,75.35,30.54,43,60,3.79,IN,1712855611
353,saldanha,-33.0117,17.9442,16.13,65,1,6.36,ZA,1712855611
354,cabo san lucas,22.8909,-109.9124,28.61,46,20,2.06,MX,1712855039
355,alaghsas,17.0187,8.0168,37.51,8,67,1.2,NE,1712855612
356,mount isa,-20.7333,139.5,14.87,51,0,2.57,AU,1712855407
357,pinhao,-25.6956,-51.6597,20.67,85,100,1.6,BR,1712855583
358,darwin,-12.4611,130.8418,24.99,66,79,2.57,AU,1712854953
359,pointe michel,15.25,-61.3833,28.17,73,20,6.66,DM,1712855612
360,garachico,28.7781,-17.7646,22.06,64,0,6.69,ES,1712855612
361,camacupa,-12.0167,17.4833,20.26,88,100,0.7,AO,1712855612
362,cova figueira,14.8905,-24.2934,18.22,70,1,4.75,CV,1712855612
363,bandar abbas,27.1865,56.2808,26.99,65,23,3.09,IR,1712855612
